name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
wangs kitchen,yes,no,2.7,64,nagawara,chinese,700,3.7867024132948837
pasta factory,yes,no,4.0,177,nagawara,"continental, italian, burger, american",600,3.9264193759220687
faasos,yes,no,3.8,140,kammanahalli,"north indian, biryani, fast food",500,3.8843913552779052
big chicken,yes,no,3.9,110,kammanahalli,fast food,400,3.9036948369588425
foodies choice,yes,no,3.7,48,nagawara,"arabian, chinese, fast food, beverages",150,3.8890298602631437
shandong,yes,no,4.0,220,hennur,"chinese, momos",500,3.9303206913787285
food magic restaurant,yes,no,3.8,88,kalyan nagar,"kerala, north indian, chinese, arabian",400,3.890854316212296
wow! momo,yes,no,3.6,90,nagawara,"tibetan, momos",400,3.864155771964976
savoury restaurant,yes,no,3.7,370,kammanahalli,"arabian, north indian, chinese, beverages",800,3.825692071496513
one for the road,yes,yes,4.5,755,nagawara,"continental, north indian, finger food",1300,4.238477028757911
tamarind - tamarind hospitality,yes,no,3.9,611,banaswadi,"chinese, continental, north indian",750,3.9021548092413885
dilli dil se..,yes,no,3.8,103,nagawara,north indian,400,3.888890606207707
despiwich dragon's kitchen,yes,no,3.9,71,banaswadi,"chinese, fast food",250,3.9039125086225814
casa de goa,yes,yes,4.2,341,kalyan nagar,"goan, mangalorean",1400,4.012543005051662
thanco's natural ice cream,yes,no,3.8,109,banaswadi,"ice cream, desserts",450,3.888128686725927
innerchef,yes,no,3.1,78,hennur,"north indian, continental",500,3.8105980279643483
gowdru hotel,yes,no,3.4,78,banaswadi,"south indian, biryani",400,3.8455756064396844
ibaco,yes,no,3.9,84,nagawara,desserts,300,3.9038371566046646
kapoor's cafe,no,no,4.1,470,kalyan nagar,north indian,800,3.991036833843684
foreign cafãâãâãâãâãâãâãâãâ©,yes,no,3.7,57,hennur,continental,500,3.8864044455372673
shahi hyderabadi dum biryani,yes,no,3.1,150,kalyan nagar,"north indian, biryani",500,3.7415520657329946
domino's pizza,yes,no,3.4,378,kalyan nagar,"pizza, fast food",400,3.7076265022787913
anu momos chinese kitchen,yes,no,3.7,118,kammanahalli,"chinese, thai, momos",450,3.87036682751502
ammi's biryani,yes,no,2.7,171,kalyan nagar,"biryani, north indian",500,3.634107717464762
marhaba,yes,no,3.6,42,nagawara,"arabian, mediterranean, north indian",600,3.8841865414030785
goli vada pav no. 1,yes,no,3.7,91,kalyan nagar,street food,200,3.877111555290541
zaica dine & wine,yes,yes,4.0,694,nagawara,"north indian, mughlai",1200,3.9560234091114
frozen bottle,yes,no,3.9,55,kalyan nagar,"beverages, desserts, ice cream",400,3.9040094128609115
hotel little imperial,yes,no,3.7,91,kalyan nagar,"north indian, chinese, south indian",500,3.877111555290541
paratha singh,yes,no,4.0,297,kalyan nagar,north indian,350,3.9363627035001683
hi seoul,yes,no,4.1,200,kalyan nagar,korean,800,3.953843338442666
amigos kitchen,yes,no,3.7,64,banaswadi,"chinese, north indian, mexican, fast food",400,3.884412336959006
a2b - adyar ananda bhavan,yes,no,2.7,194,nagawara,"south indian, north indian, chinese, street food, fast food",400,3.6067389563161134
sizzling szechuan,yes,no,3.9,224,banaswadi,"chinese, thai, seafood",600,3.9031780131388336
the bawarchi,yes,no,2.6,254,banaswadi,"north indian, chinese",1050,3.5122959535007676
leon grill,yes,no,4.2,386,kalyan nagar,"burger, fast food",500,4.021177155279579
ginger greens,no,yes,3.9,300,kalyan nagar,"andhra, chinese, north indian",750,3.902906936821716
the chocolate heaven - cakes,yes,no,3.9,64,kalyan nagar,"desserts, bakery, beverages",600,3.90395432169183
mcdonald's,yes,no,4.0,91,nagawara,"burger, fast food",500,3.9171408808037373
desi bites,yes,no,3.7,145,nagawara,"rajasthani, north indian, chinese",600,3.8641169574838976
the local,yes,yes,4.2,1196,kalyan nagar,"finger food, continental, italian, salad",1400,4.102232837553525
cafe nukkad,yes,no,4.0,89,kalyan nagar,fast food,200,3.916897177511984
breezy cow bar,yes,no,4.0,96,kalyan nagar,beverages,400,3.9177439311617888
meghana biriyanis,yes,no,3.9,375,nagawara,"andhra, biryani, south indian, chinese",400,3.9026812429690985
countryside - the taste of chettinad,yes,yes,3.9,293,kalyan nagar,"seafood, biryani, south indian, chettinad",900,3.9029299555522043
regency park,yes,no,3.6,147,kammanahalli,"north indian, chinese, seafood, rolls",700,3.843753496894511
kobe sizzlers,yes,no,4.0,398,nagawara,"american, continental, fast food, steak",1500,3.942861557844438
oye hoye,yes,no,3.8,69,kalyan nagar,north indian,300,3.893469819254771
andhra biryanis,yes,no,4.0,469,nagawara,"andhra, north indian, chinese, biryani",550,3.946688755385046
k.g.n kabbab corner,no,no,4.0,83,kalyan nagar,"north indian, kebab",500,3.9161573897747015
zyara,yes,no,3.9,191,hbr layout,"north indian, mughlai, chinese",650,3.9033121236677095
aroma spice,yes,yes,3.7,83,kalyan nagar,"andhra, chinese, north indian, seafood",800,3.87921376959666
pathaan sir,yes,no,3.3,58,kammanahalli,"rolls, chinese",300,3.850369924049536
hyderabad biryaani palace,yes,no,3.7,301,kammanahalli,"biryani, hyderabadi, chinese",750,3.835414888686265
kesar sweet shop and fast food,no,no,3.9,47,kalyan nagar,"north indian, south indian, chinese, street food, mithai",500,3.904059687630327
delicacy,yes,yes,4.1,448,kalyan nagar,"chinese, thai, momos",500,3.9887296253206435
sri durga nellore mess,yes,no,3.3,351,banaswadi,"andhra, south indian, biryani",350,3.679182675910986
serranos mexican grill,yes,no,3.7,86,nagawara,mexican,400,3.878419616998743
global flavors,yes,yes,3.5,131,banaswadi,"north indian, fast food, beverages",1000,3.8310111921165495
kitchen king,yes,no,3.8,306,nagawara,"rolls, fast food, biryani",400,3.8687737800536777
biriyani house,yes,no,3.7,600,nagawara,"andhra, north indian, biryani, beverages",600,3.801419043415742
m.m.a kabab rolls & biriyani center,yes,no,3.6,92,banaswadi,"arabian, mughlai, chinese, kebab, fast food",400,3.8633822557952398
2 statez,yes,no,3.7,209,kalyan nagar,"kerala, seafood, south indian, north indian, chinese",600,3.8509876008851864
hongkong noodles,yes,no,3.8,80,kalyan nagar,chinese,750,3.8919375271358403
chaat street,yes,no,4.1,498,kalyan nagar,"street food, north indian",250,3.9938384579505497
29 degrees north,yes,no,3.9,283,banaswadi,"north indian, fast food, street food",250,3.9029634790711087
smoke - the sizzler house,yes,no,2.8,100,nagawara,"continental, north indian, chinese, steak",800,3.744558727508175
aroma's hyderabad house,yes,no,4.2,533,nagawara,"mughlai, biryani, north indian",800,4.044564128743905
chickpet donne biryani house,yes,no,3.8,185,kammanahalli,biryani,250,3.8794975266857588
mainland china,yes,yes,4.5,1013,kalyan nagar,"chinese, momos",1100,4.280542444331764
natural ice cream,no,no,4.3,259,kalyan nagar,"ice cream, beverages",200,4.024929506715469
khyma biryani,yes,no,3.9,240,kalyan nagar,biryani,600,3.903116823956858
chung wah,yes,no,3.3,145,banaswadi,"chinese, thai, momos, vietnamese",900,3.7853126096578107
sri ruchi restuarant,yes,no,3.7,71,banaswadi,"andhra, south indian, north indian",450,3.8824623575651795
olive garden,yes,no,3.7,214,kalyan nagar,"arabian, north indian, chinese, beverages",700,3.850049789699564
mani's dum biryani,yes,no,3.5,119,kalyan nagar,"biryani, kebab",750,3.8366057474762663
chichaba's taj,yes,no,3.8,289,kalyan nagar,"biryani, north indian, mughlai",600,3.8701023644410784
tamarind,yes,no,2.7,227,rammurthy nagar,"chinese, north indian, continental",750,3.5701590228705973
chung's chinese corner,yes,no,2.8,234,kalyan nagar,chinese,700,3.5911394917674526
sreeraj lassi bar,yes,no,4.0,120,kammanahalli,"beverages, desserts, juices",150,3.9205205073251035
rahhams,yes,no,3.5,312,kammanahalli,"mughlai, north indian, chinese",700,3.764662326365613
spice kitchen,yes,yes,3.9,321,kalyan nagar,"andhra, biryani, seafood, north indian",750,3.9028400007764787
the juice shop - juicery and kitchen,yes,no,3.9,39,kalyan nagar,"beverages, fast food, bakery",300,3.9041112392192843
roll over,yes,no,4.1,174,kalyan nagar,"ice cream, beverages, fast food",500,3.9488759224943126
brewklyn microbrewery,yes,yes,4.4,2329,kalyan nagar,"american, south indian, thai, pizza, italian",1400,4.299688383804161
teburu,yes,no,4.4,203,kalyan nagar,"asian, chinese, japanese, bbq",800,4.031095819531674
aqni,yes,no,3.9,358,hbr layout,"north indian, mughlai, biryani, rolls",650,3.9027292736650674
oki,yes,yes,4.5,418,kammanahalli,"asian, european, italian, korean, malaysian, thai, vietnamese, chinese",1200,4.151129911504608
float brewery,no,yes,4.3,416,kalyan nagar,european,1800,4.067815373096473
noodles,yes,no,3.8,98,banaswadi,"chinese, momos",500,3.889535675918939
huko mukho hangla,yes,no,4.0,175,kammanahalli,"bengali, seafood",400,3.926227259410116
7 plates,yes,no,3.6,519,kalyan nagar,"north indian, mughlai, rolls, fast food",600,3.7620631357731074
kanthari,yes,no,3.9,93,kalyan nagar,"north indian, kerala, chinese",400,3.903786667701972
donne biriyani mane,yes,no,3.7,220,kalyan nagar,"biryani, kebab",400,3.848939680281318
saffron vegetarian cuisine,yes,yes,4.0,667,banaswadi,"north indian, continental, chinese, mexican, italian",700,3.955079555411883
china pearl,yes,no,4.1,155,kalyan nagar,"chinese, momos",1100,3.945026917839342
manasa fishland,yes,no,4.1,201,kalyan nagar,"seafood, south indian, north indian",650,3.9540278796820063
wokanaka - the casual chinese pitstop,yes,yes,4.1,223,kalyan nagar,"asian, chinese, thai, seafood, momos",500,3.957973072123033
maraheb restaurant,yes,no,4.2,219,kalyan nagar,arabian,1000,3.984308741614999
paradox rest-o-cafe,yes,no,3.7,124,kalyan nagar,"continental, steak",600,3.8689371758155926
anand sweets and savouries,yes,no,4.0,99,kammanahalli,"mithai, street food",400,3.9181015662436947
the thickshake factory,no,no,4.1,107,kalyan nagar,"beverages, juices",350,3.9343697431348836
punjab bistro,yes,no,4.0,165,nagawara,north indian,500,3.9252514295081333
hotel the shack,yes,no,3.9,116,rammurthy nagar,"north indian, biryani",1000,3.903663480492431
night food joint,yes,no,2.9,619,nagawara,"north indian, chinese",500,3.390570314634834
vera italiano,yes,no,4.1,198,kalyan nagar,italian,600,3.9534728526085536
chulha chauki da dhaba,yes,no,4.1,1208,kalyan nagar,north indian,800,4.035736565151833
aioli,no,yes,4.2,783,kalyan nagar,"mediterranean, continental, italian, salad",1400,4.072845764707532
the urban roof,yes,no,3.9,77,kalyan nagar,"italian, chinese, continental",800,3.903877366329564
sherlock's pub,yes,yes,3.8,360,kalyan nagar,"continental, north indian, chinese, italian",1300,3.864868644277759
cake house - story cafe,no,no,3.9,78,kalyan nagar,"bakery, desserts",650,3.903871570565245
marakachi,yes,no,3.7,83,kalyan nagar,chettinad,600,3.87921376959666
eat well,yes,no,3.6,113,banaswadi,north indian,400,3.8555256828240747
firehouse - bar & kitchen,yes,yes,3.9,751,hbr layout,"continental, american, chinese, bbq, salad, italian",1500,3.901930015430811
dinepost9,yes,no,3.9,367,banaswadi,"north indian, south indian, chinese, continental",450,3.9027036333070444
wok n roll,yes,no,3.9,82,nagawara,"chinese, momos",400,3.9038485597446493
biryani treats,no,no,2.6,45,kalyan nagar,biryani,650,3.8120913218681585
oventreats - patisserie.bistro,no,no,4.0,81,kalyan nagar,american,1000,3.91590785819665
cafe china,yes,no,3.7,42,banaswadi,chinese,500,3.8908216124931263
alibaba cafe and restaurant,no,no,2.9,56,kalyan nagar,"arabian, middle eastern",700,3.8174498929028577
al karim,no,no,3.7,90,kalyan nagar,"mughlai, north indian, biryani, chinese",600,3.877371630995813
the second wife,yes,no,3.7,68,hennur,"south indian, andhra, biryani",800,3.8832929904524263
the grill house,yes,yes,4.0,178,kalyan nagar,"american, mexican, italian, steak",1000,3.926515059438425
le roll cafe,yes,no,3.9,52,kammanahalli,"fast food, beverages, rolls",300,3.9040281192972768
ss bucket biryani,no,no,4.0,161,kammanahalli,"biryani, north indian, chinese",600,3.924853830728922
nandhana palace,no,yes,4.1,737,kammanahalli,"andhra, biryani, north indian, chinese",800,4.012944337882642
raidan restaurant,no,no,3.9,247,kammanahalli,"arabian, chinese, north indian",450,3.9030907884345454
angaar indian grill & restaurant,no,no,3.9,121,hbr layout,"arabian, mughlai, north indian, chinese, rolls",600,3.90363775380358
delicious momos,no,no,4.1,109,kammanahalli,"chinese, momos",450,3.9348429724402125
donne biriyani mane,no,no,3.8,161,banaswadi,biryani,300,3.882034681792751
hoppipola,yes,yes,4.4,816,kalyan nagar,"continental, fast food, european",1200,4.1918195314201485
twins,no,no,3.8,139,kammanahalli,"north indian, chinese, continental",500,3.8845069598741766
cottage loaf,yes,no,4.0,50,hennur,"bakery, fast food",250,3.911840999544694
sangam mess,no,no,4.2,216,kammanahalli,"south indian, biryani, north indian",300,3.9835069153756493
abhiruchi,no,no,3.8,164,kammanahalli,"andhra, seafood, north indian, chinese",650,3.881708716169734
mojo pizza - 2x toppings,yes,no,4.1,91,kammanahalli,pizza,600,3.930483989308136
have more,no,yes,3.9,198,kammanahalli,north indian,700,3.9032827385401125
gold line breadz,no,no,3.7,53,kammanahalli,"bakery, fast food, desserts",350,3.8875622371244547
cafe beirut,no,no,3.7,41,kammanahalli,arabian,250,3.891123545424286
creamyum,no,no,4.0,95,hbr layout,"bakery, desserts",300,3.917624024355902
rolls on wheels,no,no,2.8,69,banaswadi,"fast food, rolls, momos",300,3.7889243647093163
leela's kitchen,no,no,3.8,104,banaswadi,"kerala, south indian, north indian, chinese",400,3.8887627060548904
bottoms up resto bar,yes,no,3.9,248,kalyan nagar,"finger food, italian, continental",1200,3.903087104538914
victoria terminus,yes,no,2.9,54,banaswadi,"fast food, maharashtrian, rolls",250,3.820294698772324
corner house ice cream,no,no,4.4,669,kalyan nagar,"ice cream, desserts",400,4.167531810085833
mugful of stories,no,no,4.6,274,kalyan nagar,"desserts, bakery",300,4.124728417003641
the original bistro,no,no,4.1,71,kalyan nagar,"italian, beverages",600,3.925362659679983
ibaco,yes,no,3.9,90,kalyan nagar,desserts,300,3.903803349057487
just bake,yes,no,3.0,38,kalyan nagar,"bakery, desserts",400,3.849745756292765
amma's pastries,no,no,3.9,130,hbr layout,bakery,400,3.9035923449488887
byli - bet you love it!,no,yes,4.2,1989,kalyan nagar,"continental, italian, mexican, asian",800,4.132282977018662
wanderers,no,yes,4.0,662,kalyan nagar,"continental, north indian, south indian, italian",1500,3.95490030383731
thran,no,yes,4.2,308,kalyan nagar,korean,1300,4.0056619362715775
chung wah,yes,yes,4.0,702,kalyan nagar,"chinese, thai, momos, vietnamese",800,3.9562954993875863
fiddler's green,no,yes,3.9,74,kalyan nagar,"continental, american, indonesian, asian, thai",1200,3.903894858207743
agent jack's bar,no,yes,4.0,377,kalyan nagar,"continental, north indian, italian",1300,3.941621984202633
a2b - adyar ananda bhavan,yes,no,3.6,244,kalyan nagar,"south indian, north indian, chinese, street food, fast food",400,3.8154372224049693
pizza hut,yes,no,2.7,434,kalyan nagar,"pizza, fast food",750,3.3944293470323403
mavalli tiffin room (mtr),no,no,4.1,203,kalyan nagar,south indian,250,3.954395567642505
new udupi upahara,no,no,3.6,84,kalyan nagar,"chinese, north indian, south indian",200,3.8665038232713314
chetty's coffee,no,no,3.5,87,kalyan nagar,south indian,150,3.852492744407299
paranthas and dosas,no,no,3.7,300,kalyan nagar,"north indian, south indian",400,3.8355668694816485
arirang korean restaurant,no,yes,4.0,237,kammanahalli,korean,1400,3.931751305203078
al-badia restaurant,no,no,4.2,89,kammanahalli,arabian,700,3.9430736481002193
burger king,yes,no,3.9,718,kammanahalli,"burger, fast food, beverages",600,3.9019786712820084
kfc,yes,no,3.1,616,kammanahalli,"burger, fast food",450,3.4938608787971406
mcdonald's,yes,no,2.9,215,kammanahalli,"burger, fast food",500,3.636464119985296
pecos mojo,no,no,4.0,157,banaswadi,finger food,1100,3.9244519795563493
biriyani house,yes,no,3.8,200,banaswadi,"andhra, north indian, biryani, beverages",600,3.8779899882530326
pooja dosa camp,no,no,4.0,130,banaswadi,south indian,200,3.921622858125033
srinidhi upachar,no,no,3.6,70,banaswadi,"south indian, chinese",200,3.8721483823118743
new salem spices,no,no,3.5,50,banaswadi,"south indian, chettinad, chinese",600,3.8728394394822914
the sky lounge - tamarind hospitality,no,no,3.7,100,banaswadi,"north indian, south indian, chinese, continental",1200,3.874804747768667
kanti sweets,yes,no,3.8,92,banaswadi,"mithai, street food",400,3.890322226512663
degchi restaurant,no,no,3.7,103,banaswadi,north indian,600,3.8740491076486294
sri devi sagar,no,no,3.7,161,banaswadi,"south indian, north indian, chinese, street food",300,3.8606251073246662
new udupi park deluxe,no,no,3.6,77,hennur,"south indian, north indian, chinese",400,3.869296528006211
corner house ice cream,yes,no,4.4,220,banaswadi,"ice cream, desserts",400,4.038828706175276
kanti sweets,yes,no,4.0,154,kammanahalli,"mithai, street food",400,3.9241477593397978
domino's pizza,yes,no,3.8,189,banaswadi,"pizza, fast food",400,3.879089847061729
zamindars biryani durbar,yes,yes,4.3,53,nagawara,"biryani, chinese, mughlai, andhra",600,3.9369411191120323
the red lantern,yes,no,3.7,82,banaswadi,"chinese, momos",800,3.8794800604875914
the filter coffee,yes,no,4.1,620,kalyan nagar,"south indian, coffee",200,4.004533510081048
calcutta victoria chat house,yes,no,2.8,132,banaswadi,"fast food, street food",200,3.7027525320997907
kannur restaurant,yes,no,3.8,65,kammanahalli,"south indian, north indian, kerala",400,3.894039757177056
a2b - adyar ananda bhavan,yes,no,3.8,98,kammanahalli,"south indian, fast food, chinese, north indian",600,3.889535675918939
kaapikada,no,no,3.8,33,kammanahalli,"kerala, fast food, beverages",250,3.8988623088271614
suvarna sree food paradise,yes,no,3.9,63,banaswadi,"south indian, chinese, north indian, biryani",400,3.903960368055274
the filter coffee,no,no,4.0,55,banaswadi,"south indian, coffee",200,3.9125233447494563
hungry vihaari,yes,yes,4.0,47,kalyan nagar,"continental, burger, salad, pizza, beverages",800,3.911426458790202
draggers cafãâãâãâãâãâãâãâãâãâãâãâãâãâãâãâãâ©,yes,no,4.0,277,kalyan nagar,"cafe, continental, north indian",900,3.9348964063457936
knowhere,no,no,3.9,58,banaswadi,"continental, finger food",1300,3.9039908793654066
barleyz,no,no,3.8,4646,koramangala 6th block,"north indian, continental, chinese",2000,3.8117796602459704
ministry of food - hilton bangalore embassy golflinks,no,yes,4.2,468,domlur,"north indian, asian, south indian, italian, european",3000,4.035023683388243
the hole in the wall cafe,no,no,4.6,7113,koramangala 4th block,"cafe, american, burger",600,4.546636822521825
third wave coffee roasters,no,no,4.4,1224,koramangala 4th block,"cafe, continental, desserts",800,4.238617124357107
dialogues,no,no,4.1,314,koramangala 4th block,"cafe, continental",600,3.9722542328266837
stoked!,no,no,4.3,294,koramangala 4th block,"cafe, italian, pizza",850,4.035808000800168
cafe coffee day the lounge,yes,no,3.6,76,koramangala 4th block,"cafe, fast food",650,3.86970027092676
costa coffee,no,no,4.0,236,koramangala 4th block,"cafe, fast food",500,3.9316687795745455
barista,no,no,3.6,36,koramangala 4th block,cafe,300,3.886906029837558
blue tokai coffee roasters,yes,no,4.0,67,koramangala 8th block,"cafe, coffee",400,3.914118663690196
bundar,no,no,4.1,2448,koramangala 6th block,"cafe, burger, fast food, desserts",700,4.061957907439338
gudguda prime cafe,no,yes,4.2,815,koramangala 6th block,"cafe, continental, chinese, italian",800,4.075739744458143
biggies burger 'n' more,yes,no,3.7,107,koramangala 6th block,"cafe, burger, fast food",400,3.8730516915589526
the chocolate room,no,no,3.8,63,koramangala 7th block,"cafe, desserts, bakery",600,3.894327340532338
cafe on the way,yes,no,4.0,275,koramangala 3rd block,cafe,500,3.934746051626038
tattva cafe,no,no,2.8,227,koramangala 6th block,cafe,450,3.597909634117541
loca moca,no,no,3.7,46,koramangala 1st block,"cafe, continental",600,3.889623360609339
chaai resto,no,no,3.6,54,koramangala 6th block,"tea, beverages, fast food",250,3.8788993499351148
cake box,yes,no,3.5,98,koramangala 8th block,"bakery, desserts",400,3.8468651389087793
corner house ice cream,yes,no,4.6,277,koramangala 5th block,"ice cream, desserts",400,4.126371060723674
pizza hut,yes,no,3.9,490,koramangala 6th block,"pizza, fast food",750,3.9023960043553645
ovenstory pizza,yes,no,4.1,192,koramangala 8th block,pizza,750,3.9523500392185813
c. k. mega hot food,yes,no,3.9,101,btm,"chinese, momos",600,3.9037428911967464
indiana burgers,yes,no,3.5,47,domlur,burger,300,3.8745926029908286
keventers,yes,no,4.0,168,koramangala 5th block,"desserts, beverages, ice cream",400,3.925546878403358
firangi bake,yes,no,4.1,95,btm,"mexican, italian",600,3.93147242085736
wow! momo,yes,no,3.9,151,koramangala 4th block,"tibetan, momos",400,3.903490674808826
goli vada pav no. 1,yes,no,3.7,215,koramangala 5th block,street food,200,3.8498636237073804
domino's pizza,yes,no,4.0,567,koramangala 6th block,"pizza, fast food",400,3.9512004151193
biryani miya,yes,no,3.8,38,koramangala 4th block,"biryani, north indian",600,3.898076439917566
cafe coffee day,yes,no,3.4,34,hsr,"cafe, fast food",900,3.876944129133038
faasos,yes,no,4.0,463,koramangala 8th block,"north indian, biryani, fast food",500,3.9463852758141824
srinidhi sagar deluxe,yes,no,3.6,108,domlur,"south indian, north indian, chinese",40,3.8573534774079383
juicy momos,yes,no,3.6,69,koramangala 5th block,"tibetan, momos",250,3.87256072834568
1522 - the pub,no,yes,4.2,1739,koramangala 4th block,"chinese, continental, north indian",1400,4.125017202020665
litti twist,yes,no,4.2,106,hosur road,"bihari, north indian",300,3.9493401444880183
chapati house,yes,no,3.9,34,ejipura,north indian,300,3.904144129133038
uday sweets,yes,no,3.5,33,koramangala 6th block,"mithai, fast food",250,3.882996924211777
pagalkhana,yes,yes,3.9,143,koramangala 4th block,"continental, chinese, fast food, beverages",1000,3.9035287203108293
pot-o-noodles,no,yes,4.3,162,koramangala 4th block,"chinese, asian, japanese",800,3.989495459107767
chocolat boulangerie patisserie,no,no,4.1,445,koramangala 4th block,"bakery, continental, sandwich, beverages, desserts",400,3.9884074138109544
mast kalandar,no,no,2.5,547,koramangala 4th block,north indian,450,3.2293410199544366
cupcake noggins,no,no,4.1,724,koramangala 4th block,"desserts, bakery",300,4.012083711565133
paratha plaza,no,no,3.9,220,koramangala 4th block,north indian,250,3.903193687679592
vasudev adiga's,no,no,2.8,289,koramangala 4th block,"south indian, north indian, chinese, street food",250,3.5416932735319873
midnight pizza slurpp,no,no,3.7,99,koramangala 4th block,"italian, pizza",700,3.8750580879828247
crown gold,yes,no,3.9,49,koramangala 4th block,"south indian, chinese, seafood",400,3.9040470011064823
hunger meals,no,no,3.8,31,koramangala 4th block,"south indian, north indian, biryani",400,3.8991801940645483
nite out,yes,no,4.0,1110,koramangala 4th block,"north indian, chinese, biryani",500,3.9667784131147257
mars chicken delight,no,no,3.7,107,koramangala 1st block,"north indian, chinese, biryani, beverages",500,3.8730516915589526
eat street,no,no,4.2,1531,koramangala 6th block,"north indian, chinese, italian, street food, desserts",600,4.117667333038713
natural ice cream,no,no,4.5,940,koramangala 1st block,"ice cream, beverages",200,4.270078432859666
falahaar,no,no,3.9,154,koramangala 6th block,"north indian, street food",200,3.9034766184002003
juicemaker,no,no,3.9,164,koramangala 8th block,"beverages, fast food",400,3.9034305704743693
jai jinendra,no,no,4.0,98,koramangala 6th block,"street food, beverages",200,3.917982700592379
ande ka funda,no,no,3.6,72,koramangala 7th block,"north indian, chinese, rolls",250,3.8713274218825777
hungry paunch,no,no,4.0,203,koramangala 6th block,"bengali, bihari",350,3.928828817012782
apsara ice cream,no,no,4.0,128,koramangala 5th block,ice cream,200,3.9214048410405407
happy plate,no,no,3.6,54,koramangala 6th block,"north indian, chinese, south indian, fast food",400,3.8788993499351148
nightfork,no,no,3.7,126,koramangala 6th block,"chinese, biryani, pizza, italian, north indian",500,3.8684659424102494
the breakfast truck,no,no,3.9,64,koramangala 6th block,continental,550,3.90395432169183
delightz,no,no,4.0,40,koramangala 6th block,"desserts, fast food",300,3.910443868000236
the sweet spot,no,no,4.0,157,koramangala 6th block,desserts,300,3.9244519795563493
kitchen's sea food restaurant,no,no,3.4,9,koramangala 8th block,"seafood, north indian, chinese",800,3.896816801180248
rice and rolls,no,no,2.7,61,koramangala 6th block,"arabian, biryani, north indian, chinese, fast food",500,3.7917025777732345
hotel feast ambur biriyani,yes,no,3.4,257,koramangala 1st block,"biryani, kebab",250,3.7515213215897982
hello resto-pub,yes,yes,4.0,344,old airport road,continental,900,3.9395615836450792
the bier library,yes,yes,4.3,552,koramangala 6th block,"continental, north indian, pizza, bbq",2000,4.0954418903833325
xo belgian waffle,yes,no,4.5,833,koramangala 5th block,"desserts, beverages",400,4.252802022969206
icebreakers,no,no,4.4,491,koramangala 6th block,"desserts, ice cream",500,4.129288429489971
polar bear,yes,no,4.2,195,koramangala 6th block,"ice cream, desserts, beverages, sandwich",400,3.977722748992556
the fixx,no,yes,4.3,216,koramangala 4th block,"continental, south indian, italian, north indian, chinese",1200,4.010272714632155
biergarten,no,yes,4.8,460,koramangala 5th block,"continental, north indian, chinese, european, bbq, finger food, asian",2100,4.29637495785742
prost brew pub,no,yes,4.5,7854,koramangala 4th block,"american, continental, north indian, salad",1800,4.45831735709984
sotally tober,no,yes,4.4,4079,koramangala 4th block,"asian, burger, pizza, chinese, finger food",1200,4.337278389873266
the arabesque cafe,no,no,4.1,100,koramangala 4th block,"american, continental, chinese",600,3.9326918678844414
silsila,no,no,2.7,47,koramangala 4th block,north indian,800,3.8156584337118318
domino's pizza,yes,no,3.0,290,koramangala 4th block,"pizza, fast food",400,3.6066856761726998
pizza stop,yes,no,3.9,241,koramangala 4th block,"pizza, italian",600,3.9031130777742176
ulavacharu,yes,yes,4.2,147,koramangala 5th block,"andhra, north indian, chinese",900,3.9632656920164617
the old fashioned bar,no,yes,4.5,569,koramangala 6th block,"finger food, north indian, continental",1000,4.196543173024267
b-hive,no,yes,4.3,1550,koramangala 1st block,"finger food, north indian",1200,4.19079405918176
the local - terrace drinkery,no,no,4.0,1409,koramangala 6th block,"continental, american, pizza, bbq",1000,3.971745040354074
beijing bites,yes,yes,4.0,859,koramangala 5th block,"chinese, thai",850,3.9610276418676893
gorilla barfare,no,no,4.2,270,koramangala 6th block,"continental, pizza, burger",1400,3.997084878871253
jimi's beer cafe,no,no,3.8,674,koramangala 6th block,"american, north indian, chinese",1700,3.8487668622198807
chai point,no,no,4.0,293,koramangala 6th block,"tea, beverages, fast food",250,3.9360747519322947
a2b - adyar ananda bhavan,yes,no,2.7,249,koramangala 7th block,"south indian, north indian, chinese, street food, fast food",400,3.5473691437001778
purani dilli by anand sweets,yes,no,4.1,237,koramangala 5th block,"north indian, continental, street food",500,3.9603744936088754
the local - burger bar,no,no,3.8,152,koramangala 6th block,"american, pizza, burger",1500,3.8830283724201196
pizza hut,yes,no,3.7,708,koramangala 7th block,"pizza, fast food",750,3.792986975140993
black pepper lounge - case de bengaluru,no,yes,3.7,81,koramangala 6th block,finger food,1200,3.8797471439109357
mooch marod,no,no,4.2,93,koramangala 6th block,north indian,400,3.9445761413861824
madurai idly shop,no,no,3.7,468,koramangala 6th block,south indian,200,3.81406051058371
kfc,yes,no,3.8,476,koramangala 6th block,"burger, fast food",450,3.857816383044188
rolls on wheels,no,no,2.6,153,koramangala 1st block,"fast food, rolls, momos",300,3.636142581596974
delitoons,no,no,4.0,126,koramangala 6th block,"sandwich, pizza, salad",300,3.921185607682216
fnc seafood,no,no,3.8,56,koramangala 7th block,"seafood, fast food",400,3.895347883629287
pathaan sir,yes,no,3.8,132,koramangala 7th block,"rolls, chinese",300,3.8853251462076743
dhang ka khana,yes,no,3.7,34,ejipura,north indian,200,3.8932641291330383
hammered,no,no,4.3,411,hsr,"north indian, south indian, continental, asian",1200,4.066656767173802
